MODEL,AÇIKLAMA,LİSTE FİYATI
KEB-0500-132-75-P,"ELEKTRİKLİ BOYLER 500 LİTRE - 1X7,5KW TRİFAZE - PANOLU",1203.1200000000001
KEB-0500-132-10-P,ELEKTRİKLİ BOYLER 500 LİTRE - 1X10KW TRİFAZE - PANOLU,1226.88
KEB-0500-150-15-P,ELEKTRİKLİ BOYLER 500 LİTRE - 1X15KW TRİFAZE - PANOLU,1288.44
KEB-0500-232-3-0,ELEKTRİKLİ BOYLER 500 LİTRE - 2X3KW MONOFAZE - PANOSUZ,1051.92
KEB-0500-232-75-P,"ELEKTRİKLİ BOYLER 500 LİTRE - 2X7,5KW TRİFAZE - PANOLU",1312.2
KEB-0500-232-10-P,ELEKTRİKLİ BOYLER 500 LİTRE - 2X10KW TRİFAZE - PANOLU,1355.4
KEB-0500-250-15-P,ELEKTRİKLİ BOYLER 500 LİTRE - 2X15KW TRİFAZE - PANOLU,1478.52
KEB-0800-232-10-P,ELEKTRİKLİ BOYLER 800 LİTRE - 2X10KW TRİFAZE - PANOLU,1858.68
KEB-0800-250-15-P,ELEKTRİKLİ BOYLER 800 LİTRE - 2X15KW TRİFAZE - PANOLU,1981.8000000000002
KEB-0800-350-15-P,ELEKTRİKLİ BOYLER 800 LİTRE - 3X15KW TRİFAZE - PANOLU,2248.5600000000004
KEB-1000-150-15-P,ELEKTRİKLİ BOYLER 1000 LİTRE - 1X15KW TRİFAZE - PANOLU,1923.48
KEB-1000-232-10-P,ELEKTRİKLİ BOYLER 1000 LİTRE - 2X10KW TRİFAZE - PANOLU,1990.44
KEB-1000-250-15-P,ELEKTRİKLİ BOYLER 1000 LİTRE - 2X15KW TRİFAZE - PANOLU,2113.56
KEB-1000-350-15-P,ELEKTRİKLİ BOYLER 1000 LİTRE - 3X15KW TRİFAZE - PANOLU,2380.32
KEB-1000-450-15-P,ELEKTRİKLİ BOYLER 1000 LİTRE - 4X15KW TRİFAZE - PANOLU,2604.96
KEB-1500-250-15-P,ELEKTRİKLİ BOYLER 1500 LİTRE - 2X15KW TRİFAZE - PANOLU,2631.96
KEB-1500-350-15-P,ELEKTRİKLİ BOYLER 1500 LİTRE - 3X15KW TRİFAZE - PANOLU,2898.7200000000003
KEB-2000-450-15-P,ELEKTRİKLİ BOYLER 2000 LİTRE - 4X15KW TRİFAZE - PANOLU,3777.84
KEB-2500-450-15-P,ELEKTRİKLİ BOYLER 2500 LİTRE - 4X15KW TRİFAZE - PANOLU,5002.56
KEB-3000-332-10-P,ELEKTRİKLİ BOYLER 3000 LİTRE - 3X10KW TRİFAZE - PANOLU,5610.6
KDT005000004,DENGE TANKI DN50 - FLANŞLI,161.51097011403027
KDT006500004,DENGE TANKI DN65- FLANŞLI,173.37511363345348
KDT008000004,DENGE TANKI DN80 - FLANŞLI,226.57557176478736
KDT010000004,DENGE TANKI DN100 - FLANŞLI,247.8045404200145
KDT012500004,DENGE TANKI DN125 - FLANŞLI,416.7559497274694
KDT015000004,DENGE TANKI DN150 - FLANŞLI,576.7829370186014
KDT020000004,DENGE TANKI DN200 - FLANŞLI,804.1614416496036
KDT025000004,DENGE TANKI DN250 - FLANŞLI,1026.8830165292575
KDT030000004,DENGE TANKI DN300 - FLANŞLI,1453.784692918356
KDT005000002,DENGE TANKI DN50 - KAYNAKLI,109.18508691287671
KDT006500002,DENGE TANKI DN65- KAYNAKLI,114.07244600547945
KDT008000002,DENGE TANKI DN80 - KAYNAKLI,153.81767702794525
KDT010000002,DENGE TANKI DN100 - KAYNAKLI,166.0764942772603
KDT012500002,DENGE TANKI DN125 - KAYNAKLI,315.841746410959
KDT015000002,DENGE TANKI DN150 - KAYNAKLI,437.2472484821919
KDT020000002,DENGE TANKI DN200 - KAYNAKLI,613.5457242739728
KDT025000002,DENGE TANKI DN250 - KAYNAKLI,653.1267079495891
KDT030000002,DENGE TANKI DN300 - KAYNAKLI,980.3600353841097
KHA005000004,HAVA AYIRICI DN50 - FLANŞLI,145.94697936934392
KHA006500004,HAVA AYIRICI DN65- FLANŞLI,158.01416215371304
KHA008000004,HAVA AYIRICI DN80 - FLANŞLI,188.85795615746216
KHA010000004,HAVA AYIRICI DN100 - FLANŞLI,207.30196120178803
KHA012500004,HAVA AYIRICI DN125 - FLANŞLI,320.68123982811824
KHA015000004,HAVA AYIRICI DN150 - FLANŞLI,348.2612435887527
KHA020000004,HAVA AYIRICI DN200 - FLANŞLI,467.32970066041827
KHA025000004,HAVA AYIRICI DN250 - FLANŞLI,532.9454627742178
KHA030000004,HAVA AYIRICI DN300 - FLANŞLI,736.1903651769865
KHA005000002,HAVA AYIRICI DN50 - KAYNAKLI,119.78403776876712
KHA006500002,HAVA AYIRICI DN65- KAYNAKLI,128.362828339726
KHA008000002,HAVA AYIRICI DN80 - KAYNAKLI,152.47900878904107
