MODEL,AÇIKLAMA,LİSTE FİYATI
KXS-0300-V5.1-132-75-P,"ISI POMPASI BOYLERİ 300 LİTRE - 1X7,5KW TRİFAZE - PANOLU",1107.0
KXS-0300-V5.1-132-10-P,ISI POMPASI BOYLERİ 300 LİTRE - 1X10KW TRİFAZE - PANOLU,1130.7600000000002
KXS-0500-V5.1-132-10-P,ISI POMPASI BOYLERİ 500 LİTRE - 1X10KW TRİFAZE - PANOLU,1436.4
KXS-0500-V5.1-150-15-P,ISI POMPASI BOYLERİ 500 LİTRE - 1X15KW TRİFAZE - PANOLU,1497.96
KEB-0160-232-3-0,ELEKTRİKLİ BOYLER 160 LİTRE - 2X3KW MONOFAZE - PANOSUZ,655.5600000000001
KEB-0160-132-75-P,"ELEKTRİKLİ BOYLER 160 LİTRE - 1X7,5KW TRİFAZE - PANOLU",806.76
KEB-0200-132-75-P,"ELEKTRİKLİ BOYLER 200 LİTRE - 1X7,5KW TRİFAZE - PANOLU",857.5200000000001
KEB-0200-232-3-0,ELEKTRİKLİ BOYLER 200 LİTRE - 2X3KW MONOFAZE - PANOSUZ,706.32
KEB-0200-232-75-P,"ELEKTRİKLİ BOYLER 200 LİTRE - 2X7,5KW TRİFAZE - PANOLU",966.6000000000001
KEB-0300-132-75-P,"ELEKTRİKLİ BOYLER 300 LİTRE - 1X7,5KW TRİFAZE - PANOLU",978.48
KEB-0300-132-10-P,ELEKTRİKLİ BOYLER 300 LİTRE - 1X10KW TRİFAZE - PANOLU,1002.24
KEB-0300-232-3-0,ELEKTRİKLİ BOYLER 300 LİTRE - 2X3KW MONOFAZE - PANOSUZ,827.28
KEB-0300-232-75-P,"ELEKTRİKLİ BOYLER 300 LİTRE - 2X7,5KW TRİFAZE - PANOLU",1087.56
KEB-0300-232-10-P,ELEKTRİKLİ BOYLER 300 LİTRE - 2X10KW TRİFAZE - PANOLU,1130.76
KEB-0300-332-3-0,ELEKTRİKLİ BOYLER 300 LİTRE - 3X3KW MONOFAZE - PANOSUZ,908.28
KEB-0300-332-75-P,"ELEKTRİKLİ BOYLER 300 LİTRE - 3X7,5KW TRİFAZE - PANOLU",1298.16
